subject_id,modality,contrast,condition,roi,window,start_ms,end_ms,mean_amplitude
203,scalp_main,face_vs_nonface,face,face_roi,W3,220,320,6.491471243399831
203,scalp_main,face_vs_nonface,face,face_roi,W4,320,600,4.635977784738276
203,scalp_main,face_vs_nonface,non_face,face_roi,W1,80,130,1.1919571756701561
203,scalp_main,face_vs_nonface,non_face,face_roi,W2,130,220,8.44853766611189
203,scalp_main,face_vs_nonface,non_face,face_roi,W3,220,320,10.824983625809766
203,scalp_main,face_vs_nonface,non_face,face_roi,W4,320,600,7.5777234553052315
203,scalp_main,face_vs_nonface,face,late_roi,W1,80,130,1.1557339766080992
203,scalp_main,face_vs_nonface,face,late_roi,W2,130,220,0.06380900639328635
203,scalp_main,face_vs_nonface,face,late_roi,W3,220,320,0.12932418849742613
203,scalp_main,face_vs_nonface,face,late_roi,W4,320,600,0.01260500277178234
203,scalp_main,face_vs_nonface,non_face,late_roi,W1,80,130,2.3536237184608177
203,scalp_main,face_vs_nonface,non_face,late_roi,W2,130,220,0.546172682092414
203,scalp_main,face_vs_nonface,non_face,late_roi,W3,220,320,-1.5224988027850466
203,scalp_main,face_vs_nonface,non_face,late_roi,W4,320,600,-0.5268332448753537
203,scalp_main,face_vs_nonface,face,central_roi,W1,80,130,0.09799071718062426
203,scalp_main,face_vs_nonface,face,central_roi,W2,130,220,-1.332199861848381
203,scalp_main,face_vs_nonface,face,central_roi,W3,220,320,-1.301544733840009
203,scalp_main,face_vs_nonface,face,central_roi,W4,320,600,-0.8070008268936055
203,scalp_main,face_vs_nonface,non_face,central_roi,W1,80,130,0.74662133009488
203,scalp_main,face_vs_nonface,non_face,central_roi,W2,130,220,-1.167103112879949
203,scalp_main,face_vs_nonface,non_face,central_roi,W3,220,320,-3.1180540508085786
203,scalp_main,face_vs_nonface,non_face,central_roi,W4,320,600,-2.0647662448201176
203,scalp_main,emotional_vs_neutral,emotional,face_roi,W1,80,130,2.4381511591977767
203,scalp_main,emotional_vs_neutral,emotional,face_roi,W2,130,220,6.699529734208976
203,scalp_main,emotional_vs_neutral,emotional,face_roi,W3,220,320,6.2541498593663505
203,scalp_main,emotional_vs_neutral,emotional,face_roi,W4,320,600,4.363790049776562
203,scalp_main,emotional_vs_neutral,neutral,face_roi,W1,80,130,4.35274223702137
203,scalp_main,emotional_vs_neutral,neutral,face_roi,W2,130,220,8.25926034318054
203,scalp_main,emotional_vs_neutral,neutral,face_roi,W3,220,320,7.203435395500267
203,scalp_main,emotional_vs_neutral,neutral,face_roi,W4,320,600,5.452540989623418
203,scalp_main,emotional_vs_neutral,emotional,late_roi,W1,80,130,1.323090168338106
203,scalp_main,emotional_vs_neutral,emotional,late_roi,W2,130,220,0.4231052324748704
203,scalp_main,emotional_vs_neutral,emotional,late_roi,W3,220,320,0.32195697944009444
203,scalp_main,emotional_vs_neutral,emotional,late_roi,W4,320,600,-0.032200846890717526
203,scalp_main,emotional_vs_neutral,neutral,late_roi,W1,80,130,0.6536654014180787
203,scalp_main,emotional_vs_neutral,neutral,late_roi,W2,130,220,-1.0140796718514673
203,scalp_main,emotional_vs_neutral,neutral,late_roi,W3,220,320,-0.4485741843305786
203,scalp_main,emotional_vs_neutral,neutral,late_roi,W4,320,600,0.14702255175928186
203,scalp_main,emotional_vs_neutral,emotional,central_roi,W1,80,130,0.4255804599310716
203,scalp_main,emotional_vs_neutral,emotional,central_roi,W2,130,220,-1.0614308722644812
203,scalp_main,emotional_vs_neutral,emotional,central_roi,W3,220,320,-1.1234678389483133
203,scalp_main,emotional_vs_neutral,emotional,central_roi,W4,320,600,-0.6399413525665198
