window,start_ms,end_ms,channel,n_subjects,mean_difference,median_difference,std_difference,sem_difference,include_in_topomap
W3,220.0,320.0,Fz,11,1.757721201152558,1.8175463568664671,1.0485169091633664,0.31613974309436743,True
W3,220.0,320.0,F4,10,1.316738996714081,1.6233367908450866,1.330169646934607,0.42063657587353676,True
W3,220.0,320.0,F8,11,0.3156712051323478,0.6432423095768594,2.068909674949068,0.6237997379038374,True
W3,220.0,320.0,FC5,6,0.940831124168743,0.8259327365183675,1.4059525551512302,0.5739777271137898,True
W3,220.0,320.0,FC1,9,1.3425329551298024,1.6317837118886063,2.250390592164659,0.7501301973882196,True
W3,220.0,320.0,FC2,9,1.9102860918413909,1.8569812496883884,0.6601945014018653,0.22006483380062178,True
W3,220.0,320.0,FC6,11,1.2572520379774033,1.180054448163884,1.2295440694860045,0.37072148560834045,True
W3,220.0,320.0,T7,10,0.7635889492684621,0.972179526324024,3.1811581659519046,1.0059705401651922,True
W3,220.0,320.0,C3,11,1.486157590843299,1.0136824264474726,1.5304585895145484,0.46145062714511903,True
W3,220.0,320.0,Cz,9,1.9593428341843666,1.4947190614570216,1.7264630401956287,0.5754876800652096,True
W3,220.0,320.0,C4,11,1.4664324307656367,1.3823429012203663,1.613640441302794,0.4865308991222613,True
W3,220.0,320.0,T8,11,0.7913234105297423,0.8923882569177913,2.4029002366562735,0.7245016812404594,True
W3,220.0,320.0,TP7,10,-0.5543715993579925,-0.34657383535152686,3.984682320829747,1.2600671886027797,True
W3,220.0,320.0,CP5,10,-0.07644948238980895,-0.39170466402476445,3.647859732740773,1.153554534027394,True
W3,220.0,320.0,CP1,10,1.0072356261804316,0.5937637425165101,2.4188016010227047,0.7648922267293607,True
W3,220.0,320.0,CP2,9,1.4341523616914262,1.3837453808441182,2.353614277294709,0.7845380924315696,True
W3,220.0,320.0,CP6,11,0.408912655966154,-0.4333150650160107,3.356978017641784,1.01216695581717,True
W3,220.0,320.0,TP8,10,-0.24760860375599325,-1.0579397749235877,3.548397771124032,1.1221019001016794,True
W3,220.0,320.0,P7,11,-1.5966007657718528,-2.664580125683015,4.146043292148731,1.2500790876933814,True
W3,220.0,320.0,P3,11,-0.4775569371361728,-0.9135348791709421,3.8318166739741026,1.1553361975454257,True
W3,220.0,320.0,Pz,11,0.6783717092326212,0.6808820294977505,3.1801522361586647,0.9588519766861808,True
W3,220.0,320.0,P4,11,-0.16946178893034664,-1.0338053370911693,3.4729209986623224,1.0471250799190264,True
