analysis,modality,contrast,roi,window,condition_a,condition_b,n,mean_a,mean_b,mean_diff,test,statistic,p_value,effect_size_dz,p_fdr
condition_within_modality,ear_strict_main,face_vs_nonface,ear_strict,W2,face,non_face,11,0.9806006551813929,0.6298726081675698,0.350728047013823,wilcoxon,28.0,0.7001953125,0.35002250416071995,0.8326646959459459
condition_within_modality,ear_strict_main,face_vs_nonface,ear_strict,W3,face,non_face,11,0.6069836872546659,-0.14622877613807758,0.7532124633927435,wilcoxon,17.0,0.1748046875,0.5454137506917508,0.4157516891891892
condition_within_modality,ear_strict_main,face_vs_nonface,ear_strict,W4,face,non_face,11,0.9177375952482211,-0.8877294193553985,1.8054670146036196,wilcoxon,11.0,0.0537109375,0.8296950245536282,0.33761160714285715
condition_within_modality,scalp_main,emotional_vs_neutral,central_roi,W1,emotional,neutral,11,-0.7199202379138168,-0.6738694183073999,-0.04605081960641689,wilcoxon,25.0,0.51953125,-0.03601854990170894,0.7882543103448276
condition_within_modality,scalp_main,emotional_vs_neutral,central_roi,W2,emotional,neutral,11,-0.8011272338845817,-1.2684997369432849,0.4673725030587034,wilcoxon,23.0,0.4130859375,0.3677131389961828,0.7418686224489796
condition_within_modality,scalp_main,emotional_vs_neutral,central_roi,W3,emotional,neutral,11,-0.8125798820701248,-1.9292392417365496,1.1166593596664245,wilcoxon,22.0,0.365234375,0.29725570004822577,0.6695963541666666
condition_within_modality,scalp_main,emotional_vs_neutral,central_roi,W4,emotional,neutral,11,-0.9136298805448629,-1.5386400965206624,0.6250102159757992,wilcoxon,26.0,0.5771484375,0.20923109567898857,0.8326075819672131
condition_within_modality,scalp_main,emotional_vs_neutral,face_roi,W1,emotional,neutral,11,6.410123019462333,7.283259807989075,-0.8731367885267428,wilcoxon,11.0,0.0537109375,-0.674655441512817,0.33761160714285715
condition_within_modality,scalp_main,emotional_vs_neutral,face_roi,W2,emotional,neutral,11,7.284786186283221,7.5963278080018055,-0.3115416217185819,wilcoxon,13.0,0.0830078125,-0.19978659878035201,0.405517578125
condition_within_modality,scalp_main,emotional_vs_neutral,face_roi,W3,emotional,neutral,11,7.946631591865469,7.365915331564475,0.5807162603009944,wilcoxon,13.0,0.0830078125,0.14395702075529818,0.405517578125
condition_within_modality,scalp_main,emotional_vs_neutral,face_roi,W4,emotional,neutral,11,6.620829791156502,6.42947659846437,0.19135319269213127,wilcoxon,26.0,0.5771484375,0.06042927482764146,0.8326075819672131
condition_within_modality,scalp_main,emotional_vs_neutral,late_roi,W1,emotional,neutral,11,0.7326017125669329,0.930744890869986,-0.19814317830305309,wilcoxon,31.0,0.8984375,-0.15297537021195867,0.9412202380952381
condition_within_modality,scalp_main,emotional_vs_neutral,late_roi,W2,emotional,neutral,11,0.9631172761198029,0.5725091256261673,0.3906081504936357,wilcoxon,24.0,0.46484375,0.299098492467449,0.7718160377358491
condition_within_modality,scalp_main,emotional_vs_neutral,late_roi,W3,emotional,neutral,11,1.0084705057614738,0.0071799623468799334,1.0012905434145938,wilcoxon,24.0,0.46484375,0.26738339423492574,0.7718160377358491
