subject_id,modality,contrast,condition_a,condition_b,roi,window,start_ms,end_ms,mean_a,mean_b,difference,n_a,n_b
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,2.850428177247101,1.88327695438843,0.967151222858671,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,0.5852463728597239,0.3032326700313123,0.2820137028284116,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,0.5598848897340349,1.6604628008761595,-1.1005779111421246,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,4.456329659455126,3.837503268709995,0.6188263907451312,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,-1.0323405784699518,-0.6655461581979251,-0.3667944202720267,240.0,80.0
214,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_mastoid,W4,320,600,1.047553307341281,0.7378611673184825,0.30969214002279855,240.0,80.0
200,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,1.1466808009056,2.192290716521284,-1.045609915615684,240.0,80.0
201,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,3.883397755521709,1.989430965892196,1.8939667896295131,240.0,80.0
202,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,3.6623523658555497,-0.1433962211957823,3.805748587051332,240.0,80.0
203,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,-0.1161163561080504,0.2684102810383825,-0.38452663714643287,240.0,80.0
205,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,0.1126708358890975,0.1460086986827362,-0.03333786279363869,240.0,80.0
206,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,0.0260431805980557,0.7082372623332365,-0.6821940817351808,240.0,80.0
208,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,1.3769127756928243,1.4073867246861531,-0.03047394899332878,240.0,80.0
209,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,0.762848224972969,0.6560583466340995,0.10678987833886955,240.0,80.0
211,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,0.5831054105944802,0.5018466353736911,0.08125877522078906,240.0,80.0
212,ear_full_main,emotional_vs_neutral,emotional,neutral,ear_right,W1,80,130,0.5656130146451984,0.9021594417965744,-0.33654642715137595,240.0,80.0
